DATE,LRAC25TTJPM156N
1983-08-01,79.1294430716594
1983-09-01,79.3162393162393
1983-10-01,79.3949771689498
1983-11-01,78.8922725542444
1983-12-01,78.1714285714286
1984-01-01,77.7227722772277
1984-02-01,77.7904761904762
1984-03-01,78.3861121709271
1984-04-01,78.9443597560976
1984-05-01,79.3484473232997
1984-06-01,79.6952380952381
1984-07-01,79.352380952381
1984-08-01,79.1666666666667
1984-09-01,79.6275180539719
1984-10-01,79.8669201520912
1984-11-01,79.4788893115253
1984-12-01,78.681653648314
1985-01-01,78.3552255853798
1985-02-01,78.1880472021317
1985-03-01,78.4298780487805
1985-04-01,79.3215170573661
1985-05-01,79.6116504854369
1985-06-01,79.615164793294
1985-07-01,79.3865498190131
1985-08-01,79.2413267251239
1985-09-01,79.7412973178619
1985-10-01,79.7261316089768
1985-11-01,79.3116562084046
1985-12-01,78.27907862174
1986-01-01,78.4123358081096
1986-02-01,78.4436834094368
1986-03-01,78.891217374738
1986-04-01,79.7101449275362
1986-05-01,79.8010711553175
1986-06-01,79.8738532110092
1986-07-01,79.7560045749142
1986-08-01,79.6723185368642
1986-09-01,79.6764985727878
1986-10-01,79.6877974490767
1986-11-01,79.2906178489702
1986-12-01,78.6531858069439
1987-01-01,78.3711615487316
1987-02-01,78.5618920465382
1987-03-01,79.1571319603356
1987-04-01,80.0457840518886
1987-05-01,80.1070131855532
1987-06-01,80.0879877582249
1987-07-01,80.0114547537228
1987-08-01,79.8588594316231
1987-09-01,79.942748091603
1987-10-01,79.9847211611918
1987-11-01,79.7975940423907
1987-12-01,79.5680428134556
1988-01-01,79.2398777692895
1988-02-01,79.2470858016434
1988-03-01,79.5711277043844
1988-04-01,80.3441682600382
1988-05-01,80.672268907563
1988-06-01,80.6389898603406
1988-07-01,80.7530581039755
1988-08-01,80.2752293577982
1988-09-01,80.1794920756158
1988-10-01,80.1831012778944
1988-11-01,80.1525262154433
1988-12-01,79.9885211402334
1989-01-01,79.5371964046663
1989-02-01,79.9158377964805
1989-03-01,80.2334481438959
1989-04-01,80.8812260536398
1989-05-01,81.395793499044
1989-06-01,81.4255685075482
1989-07-01,81.148635756535
1989-08-01,80.7134681419306
1989-09-01,80.7736280487805
1989-10-01,80.884314846579
1989-11-01,80.9196718183553
1989-12-01,80.6032836960672
1990-01-01,80.6069860660431
1990-02-01,80.790528928776
1990-03-01,80.9096120772024
1990-04-01,81.251195714559
1990-05-01,81.6501524390244
1990-06-01,81.6135800114438
1990-07-01,81.2166285278414
1990-08-01,80.8498475609756
1990-09-01,81.4758463294028
1990-10-01,81.3913704618894
1990-11-01,81.3333333333333
1990-12-01,81.0377718428081
1991-01-01,80.9887383088376
1991-02-01,81.1425296140619
1991-03-01,81.2750524909334
1991-04-01,81.5593349894898
1991-05-01,81.9242540168324
1991-06-01,81.9659590743928
1991-07-01,81.4758172433569
